Length (μm),Diameter (μm),Length to diameter Ratio
6.31,1.37,4.605839416
5.18,1.03,5.029126214
4.55,0.9,5.055555556
3.98,0.88,4.522727273
3.46,0.96,3.604166667
5.76,1.29,4.465116279
8.96,1.55,5.780645161
4.13,1.01,4.089108911
4.79,0.94,5.095744681
3.59,0.87,4.126436782
2.76,0.99,2.787878788
4.09,0.89,4.595505618
3.81,0.97,3.927835052
3.66,0.91,4.021978022
7.04,1.18,5.966101695
3.14,0.62,5.064516129
3.26,0.94,3.468085106
4.52,1.0,4.52
5.48,1.04,5.269230769
6.79,0.84,8.083333333
3.03,0.67,4.52238806
4.48,1.0,4.48
4.62,1.24,3.725806452
4.11,0.85,4.835294118
5.8,1.01,5.742574257
3.12,0.97,3.216494845
7.79,1.13,6.89380531
4.15,0.79,5.253164557
4.54,1.01,4.495049505
6.38,1.33,4.796992481
4.09,0.81,5.049382716
3.47,0.79,4.392405063
4.31,0.83,5.192771084
2.8,0.71,3.943661972
4.51,1.17,3.854700855
6.55,1.03,6.359223301
4.59,0.89,5.157303371
4.23,0.77,5.493506494
7.67,0.86,8.918604651
7.39,1.33,5.556390977
4.43,0.97,4.567010309
4.14,1.04,3.980769231
2.49,0.84,2.964285714
4.49,1.07,4.196261682
5.99,1.26,4.753968254
5.73,1.28,4.4765625
5.24,1.26,4.158730159
6.26,0.9,6.955555556
5.16,1.21,4.26446281
2.49,0.78,3.192307692
4.57,0.9,5.077777778
5.1,1.0,5.1
2.02,0.84,2.404761905
3.37,1.06,3.179245283
5.1,1.13,4.513274336
4.66,1.06,4.396226415
3.58,0.91,3.934065934
3.81,0.78,4.884615385
5.08,0.92,5.52173913
4.06,0.86,4.720930233
3.54,0.86,4.11627907
4.04,0.73,5.534246575
6.77,0.94,7.20212766
3.73,0.96,3.885416667
3.18,0.79,4.025316456
2.68,0.97,2.762886598
3.18,0.84,3.785714286
5.5,0.96,5.729166667
4.38,0.91,4.813186813
5.21,0.95,5.484210526
3.82,0.84,4.547619048
5.95,1.02,5.833333333
2.76,0.8,3.45
4.55,0.93,4.892473118
5.88,1.09,5.394495413
6.36,1.37,4.642335766
5.0,0.81,6.172839506
3.28,1.18,2.779661017
4.03,0.74,5.445945946
4.67,1.07,4.364485981
6.4,1.29,4.96124031
4.05,0.81,5.0
3.33,1.01,3.297029703
8.18,1.33,6.15037594
5.63,0.84,6.702380952
3.79,1.0,3.79
6.87,0.81,8.481481481
4.12,1.19,3.462184874
6.0,1.24,4.838709677
2.38,0.84,2.833333333
3.76,0.99,3.797979798
4.64,1.07,4.336448598
3.18,1.03,3.087378641
2.73,0.83,3.289156627
6.28,0.85,7.388235294
3.23,0.72,4.486111111
4.6,0.89,5.168539326
2.95,0.85,3.470588235
3.49,0.88,3.965909091
3.5,0.91,3.846153846
4.34,1.08,4.018518519
4.92,1.15,4.27826087
3.29,0.69,4.768115942
3.11,1.11,2.801801802
3.34,0.72,4.638888889
7.72,0.66,11.6969697
3.75,1.01,3.712871287
3.82,0.93,4.107526882
7.12,1.11,6.414414414
5.55,1.07,5.186915888
4.84,0.89,5.438202247
5.87,0.96,6.114583333
3.64,0.93,3.913978495
3.69,1.1,3.354545455
6.42,1.04,6.173076923
3.46,1.0,3.46
4.51,0.96,4.697916667
5.77,1.04,5.548076923
4.8,0.85,5.647058824
3.27,0.75,4.36
3.84,0.84,4.571428571
4.09,0.83,4.927710843
4.32,0.87,4.965517241
5.77,0.97,5.948453608
2.71,0.8,3.3875
2.68,1.0,2.68
3.81,1.25,3.048
6.76,1.12,6.035714286
5.06,1.18,4.288135593
3.46,0.89,3.887640449
7.74,0.99,7.818181818
6.56,0.96,6.833333333
