Insulation time (h),Concentration (%),Temperature (℃),Length (μm),Diameter (μm),Length to diameter Ratio
5,7,900,7.66,0.90 ,8.511111111
5,7,900,6.26,0.90 ,6.955555556
5,9,900,6.74,0.86,7.837209302
5,9,900,7.68,1.21,6.347107438
5,9,900,8.18,1.33,6.15037594
5,9,900,5.97,1.18,5.059322034
5,9,900,5.28,0.95,5.557894737
5,9,900,6.88,1.26,5.46031746
5,9,900,6.28,0.85,7.388235294
5,9,900,7.62,1.01,7.544554455
5,9,900,4.18,0.98,4.265306122
5,9,900,5.77,0.97,5.948453608
